gene
A2M
A3GALT2
AADACL3
AADAT
AASS
ABCA1
ABCA10
ABCA3
ABCA4
ABCA6
ABCA8
ABCA9
ABCB1
ABCB9
ABCC12
ABCC4
ABCC9
ABCG4
ABI3BP
ABLIM1
ABLIM3
ABTB2
ACACA
ACACB
ACAN
ACAP3
ACBD7
ACCS
ACCSL
ACD
ACE2
ACER2
ACHE
ACKR1
ACKR3
ACOT11
ACOXL
ACP6
ACRBP
ACSL1
ACSL4
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSS2
ACTA1
ACTA2
ACTC1
ACTG2
ACTL6B
ACTL7B
ACTL8
ACTN2
ACTRT1
ACVR2A
ADAD2
ADAM11
ADAM12
ADAM19
ADAM2
ADAM20
ADAM22
ADAM23
ADAM30
ADAM33
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS2
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS8
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADARB1
ADARB2
ADCY1
ADCY2
ADCY3
ADCY4
ADCY5
ADCY9
ADCYAP1
ADD2
ADGRA1
ADGRA2
ADGRA3
ADGRB2
ADGRB3
ADGRD1
ADGRF5
ADGRG3
ADGRG6
ADGRL1
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH1A
ADH1B
ADH1C
ADH4
ADH7
ADIPOQ
ADIRF
ADM
ADPRHL1
ADRA1D
ADRA2A
ADRB3
AEBP1
AFAP1
AFAP1L1
AFAP1L2
AFDN
AFF2
AFF3
AFM
AFP
AGAP1
AGAP2
AGBL1
AGBL4
AGER
AGMO
AGPAT1
AGR2
AGR3
AGT
AGTR1
AGTR2
AGXT
AHDC1
AHRR
AHSG
AHSP
AIF1
AIF1L
AIFM3
AJUBA
AK1
AKAP12
AKAP6
AKAP7
AKNAD1
AKR1C1
AKR1C2
AKR7L
AKT3
ALAS2
ALB
ALCAM
ALDH1A1
ALDH1A2
ALDH1A3
ALDH3A1
ALDH7A1
ALDOB
ALDOC
ALOX12
ALOXE3
ALPG
ALPI
ALPK2
ALPK3
ALPL
AMBN
AMBP
AMELX
AMER2
AMER3
AMIGO3
AMOTL1
AMOTL2
AMPH
AMY1B
AMY1C
AMY2A
ANG
ANGPT1
ANGPT2
ANGPTL4
ANGPTL7
ANK2
ANK3
ANKRD1
ANKRD13B
ANKRD2
ANKRD20A1
ANKRD28
ANKRD30B
ANKRD30BL
ANKRD34C
ANKRD50
ANKRD6
ANKRD60
ANKS1A
ANKS1B
ANLN
ANO1
ANO10
ANO2
ANO3
ANO4
ANO8
ANOS1
ANP32D
ANTXR1
ANTXR2
ANXA3
AOAH
AOC3
AOX1
AP2A2
AP3B2
APBA1
APBB2
APC2
APCDD1
APCDD1L
APCS
APLN
APLNR
APLP1
APOA1
APOA2
APOA4
APOB
APOBEC3A
APOC1
APOC2
APOC3
APOD
APOE
APOH
APOLD1
APOM
AQP1
AQP10
AQP12A
AQP2
AQP3
AQP4
AQP5
AQP6
ARAP3
ARC
AREG
ARFGAP1
ARFGEF3
ARHGAP10
ARHGAP11B
ARHGAP15
ARHGAP18
ARHGAP20
ARHGAP24
ARHGAP26
ARHGAP28
ARHGAP29
ARHGAP31
ARHGAP32
ARHGAP35
ARHGAP39
ARHGAP42
ARHGAP44
ARHGAP45
ARHGAP6
ARHGAP8
ARHGEF10
ARHGEF15
ARHGEF17
ARHGEF18
ARHGEF25
ARHGEF26
ARHGEF3
ARHGEF7
ARID3A
ARL15
ARL17B
ARMC5
ARMC9
ARMCX4
ARMH4
ARMS2
ARNT2
ARPP21
ARRDC5
ARSI
ASAP1
ASAP2
ASCL1
ASCL3
ASCL4
ASIC1
ASIC2
ASIC4
ASPA
ASPM
ASPN
ASS1
ASTE1
ASTL
ASTN1
ASTN2
ASXL3
ASZ1
ATAD5
ATG7
ATG9A
ATN1
ATOH8
ATP10A
ATP11A
ATP11C
ATP12A
ATP13A3
ATP13A4
ATP1A3
ATP1B2
ATP1B3
ATP1B4
ATP2A2
ATP2B2
ATP4B
ATP8B1
ATP8B2
ATP8B4
ATP9A
ATRNL1
ATXN7L1
AURKA
AVP
AVPR2
AXL
AZGP1
AZU1
B3GALT1
B3GALT5
B3GAT1
B3GNT9
B4GALNT1
B4GALNT3
B4GALNT4
B4GALT2
B4GALT6
BAAT
BACE2
BACH1
BACH2
BAMBI
BANK1
BARHL1
BARHL2
BARX1
BASP1
BBS1
BBS4
BBS9
BCAM
BCAN
BCAS3
BCHE
BCL2
BCL2A1
BCL7A
BCOR
BECN2
BEST2
BGN
BHLHA9
BHLHB9
BHLHE22
BHLHE23
BHMT
BICC1
BICD1
BICRA
BIRC7
BIRC8
BLID
BMERB1
BMP1
BMP10
BMP2K
BMP3
BMP4
BMP5
BMP6
BMP7
BMPER
BMPR1B
BMPR2
BMX
BNC1
BNC2
BNIP2
BNIP5
BOC
BOD1L2
BPI
BPIFA1
BPIFA2
BPIFA3
BPIFB1
BPIFB2
BPIFB3
BPY2
BPY2B
BRINP1
BRINP2
BRINP3
BRS3
BSPH1
BSX
BTBD17
BTBD2
BTBD3
BTNL2
BTNL8
BTNL9
BUB1
BUB1B
BVES
C10orf120
C10orf126
C10orf82
C10orf90
C11orf87
C11orf96
C12orf54
C12orf71
C12orf75
C12orf76
C13orf46
C15orf48
C15orf62
C16orf89
C16orf90
C16orf92
C16orf96
C17orf113
C1QA
C1QB
C1QC
C1QL1
C1QL2
C1QL4
C1QTNF1
C1QTNF2
C1QTNF3
C1QTNF6
C1QTNF7
C1QTNF8
C1QTNF9
C1R
C1S
C1orf185
C1orf198
C1orf232
C1orf68
C1orf94
C20orf173
C20orf85
C21orf62
C2CD2
C2CD2L
C2CD4A
C2CD4B
C2orf15
C2orf72
C3
C3orf56
C3orf70
C4BPA
C4orf17
C4orf36
C4orf54
C5
C5orf49
